# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
WASP-34 b,0.59,0.01,0.01,1.22,0.08,0.08,4.3176782,4.5e-06,4.5e-06,0.0524,0.0004,0.0004,0.038,0.012,0.012,0.000437,85.2,0.2,0.2,2454647.55358,0.00064,0.00064,,,,,,,,,,,,,,1,2010,2010-12-13,-40.2,18.6,18.6,,,,detected by transit,,WASP-34,165.4,-23.8605556,10.4,,,,,120.0,-0.02,1.01,0.93,G5,,5700.0
WASP-35 b,0.72,0.06,0.06,1.32,0.03,0.03,3.161575,2e-06,2e-06,0.04317,0.00028,0.00028,0.0,,,,87.96,0.25,0.25,5531.47907,0.00015,0.00015,,,,,,,,,,,,,,3,2011,2011-04-15,,,,,,,detected by transit,,WASP-35,0.0,0.0,,,,,,,,,,,,
WASP-36 b,2.279,0.068,0.068,1.269,0.03,0.03,1.5373653,2.7e-06,2.7e-06,0.02624,0.00027,0.00027,0.0,,,5.8e-05,83.65,0.22,0.22,2455569.83731,9.3e-05,9.3e-05,,,,,,,,,,,,,,3,2010,2011-10-25,,,,,,,detected by transit,,WASP-36,131.579166673,-8.0269444,12.7,,,,,450.0,-0.31,1.02,0.943,G2,3.0,5881.0
WASP-37 b,1.696,0.128,0.123,1.136,0.051,0.051,3.577471,1.1e-05,1.1e-05,0.04339,0.00152,0.00152,0.0,,,0.000128,88.78,0.83,0.83,2455338.6189,0.0006,0.0006,,,,,,,,,,,,,,2,2010,2010-08-19,,,,,,,detected by transit,,WASP-37,221.9458333,1.065,12.7,,,,,338.0,-0.4,0.849,0.977,G2,11.0,5800.0
WASP-38 b,2.712,0.065,0.065,1.079,0.044,0.044,6.871815,4.2e-05,4.2e-05,0.07551,0.00085,0.00085,0.0321,0.0044,0.0044,0.000686,88.69,0.55,0.55,2455335.9205,0.00074,0.00074,,,,,,,,,,,,,,1,2010,2012-04-08,-19.0,-16.0,-16.0,,,,detected by transit,,WASP-38,243.9583333,10.0325,9.42,,,,,110.0,-0.12,1.216,1.365,F8,5.0,6150.0
WASP-39 b,0.28,0.03,0.03,1.27,0.04,0.04,4.055259,9e-06,9e-06,0.0486,0.0005,0.0005,0.0,,,0.000211,87.83,0.25,0.25,2455342.9688,0.0002,0.0002,,,,,,,,,,,,,,1,2011,2011-09-08,,,,,,,detected by transit,,WASP-39,217.325,-3.4444444,12.11,,,,,230.0,-0.12,0.93,0.895,G8,,5400.0
WASP-4 b,1.1215,0.079,0.087,1.395,0.022,0.022,1.33823187,2.5e-07,2.5e-07,0.0235,0.0004,0.0004,0.0,,,7.7e-05,88.52,0.39,0.26,2454823.591924,2.8e-05,2.8e-05,,,,,,,,,,,,,,4,2007,2013-06-04,,,,,,,detected by transit,,WASP-4,353.5625,-42.0613889,12.6,,,,,300.0,-0.03,0.93,1.15,G8,,5500.0
WASP-41 b,0.92,0.07,0.07,1.21,0.07,0.07,3.052394,4e-06,4e-06,0.04,0.0005,0.0005,0.0,,,0.000222,87.3,0.7,0.7,2455343.462,0.001,0.001,,,,,,,,,,,,,,3,2010,2010-12-15,,,,,,,detected by transit,,WASP-41,0.0,0.0,11.6,,,,,180.0,-0.08,0.95,1.01,G8V,,5450.0
WASP-42 b,0.5,0.035,0.035,1.08,0.057,0.057,4.9816872,7.3e-06,7.3e-06,0.0458,0.0017,0.0017,0.06,0.013,0.013,,88.25,0.27,0.27,2455652.889,0.035,0.035,,,,,,,,,,,,,,1,2011,2012-05-15,167.0,26.0,26.0,,,,detected by transit,,WASP-42,0.0,0.0,,,,,,,,,,,,
WASP-43 b,2.034,0.052,0.052,1.036,0.019,0.019,0.81347753,7e-07,7e-07,0.01526,0.00018,0.00018,0.0035,0.0025,0.0025,,82.33,0.2,0.2,2455726.95069,0.00078,0.00078,,,,,,,,,,,,,,1,2011,2012-08-24,-32.0,34.0,34.0,,,,detected by transit,,WASP-43,154.9083333,-9.8063889,12.4,,,,,,-0.01,0.717,0.667,K7V,0.4,4520.0
